id,name,parent_id
1,Technic,
22,Creator,
34,Make & Create,
50,Town,
52,City,
112,Racers,
126,Space,
147,Pirates,
155,Modular Buildings,
158,Star Wars,
186,Castle,
206,Seasonal,
233,Train,
246,Harry Potter,
252,Architecture,
254,Bulk Bricks,
258,Mindstorms,
264,Indiana Jones,
269,Cars,
270,Ben 10,
272,SpongeBob SquarePants,
273,Studios,
275,Toy Story,
276,Sculptures,
278,Model Team,
279,4 Juniors,
296,Adventurers,
301,Other,
302,Agents,
304,Alpha Team,
307,Aquazone,
315,Atlantis,
317,Avatar: The Last Airbender,
318,Belville,
324,Bionicle,
363,Boat,
364,Building Set with People,
365,System,
385,Dino Attack / Dino 2010,
386,Dinosaurs,
387,Discovery,
389,Exo-Force,
390,Fabuland,
397,Factory,
398,FIRST LEGO League,
399,Freestyle,
400,Hero Factory,
404,Hobby Sets,
405,Homemaker,
407,Island Xtreme Stunts,
408,LEGO Brand Store,
411,Legoland,
425,Legoland Parks,
432,Master Builder Academy,
433,Minitalia,
434,Ninja,
435,Ninjago,
437,Pharaoh's Quest,
438,Power Functions,
439,Power Miners,
440,Primo,
441,Quatro,
442,Rock Raiders,
443,Service Packs,
458,Sports,
463,Spybotics,
464,Time Cruisers,
465,Universal Building Set,
474,Vikings,
475,Western,
480,Znap,
481,Dino,
494,Friends,
497,Books,
500,Clikits,
501,Gear,
502,Games,
504,Duplo,
507,Educational and Dacta,
535,Collectible Minifigures,
558,Monster Fighters,
559,Value Packs,
560,Universe,
561,The Hobbit and Lord of the Rings,
570,Teenage Mutant Ninja Turtles,
571,Legends of Chima,
575,The Lone Ranger,
576,LEGO Ideas and CUUSOO,
577,Minecraft,
578,The LEGO Movie,
580,Mixels,
590,Fusion,
591,Juniors,
598,Promotional,
599,LEGO Exclusive,
600,Elves,
601,Speed Champions,
602,Jurassic World,
603,Scooby-Doo,
604,Dimensions,
605,Nexo Knights,
606,Angry Birds,
607,Ghostbusters,
608,Disney,
610,Brickheadz,
617,DC Super Hero Girls,
621,Classic,
625,Unikitty!,
646,Xtra,
654,The Powerpuff Girls,
668,Scala,
669,Overwatch,
671,Forma,
676,Hidden Side,
680,Stranger Things,
682,Trolls: World Tour,
683,LEGO Originals,
685,Galidor,
686,Chinese Traditional Festivals,
688,DOTS,
689,Minions,
690,Super Mario,
693,Monkie Kid,
694,Brick Sketches,
695,Super Heroes DC,
696,Super Heroes Marvel,
709,LEGO Art,
713,VIDIYO,
716,Modulex,
717,Speed Racer,
719,BrickLink Designer Program,
721,Icons,
724,Avatar,
747,Sonic The Hedgehog,
748,Gabby's Dollhouse,
749,Dreamzzz,
752,Animal Crossing,
763,Despicable Me 4,
764,The Legend of Zelda,
765,Wicked,
766,Fortnite,
768,Wednesday,
769,Botanicals,
770,Horizon Adventures,
772,Bluey,
775,One Piece,
776,Pokémon,
785,Nike,
787,Editions,
792,KPop Demon Hunters,
3,Competition,1
4,Expert Builder,1
16,RoboRiders,1
17,Speed Slammers,1
18,Star Wars,1
19,Supplemental,1
20,Throwbot Slizer,1
21,Universal Building Set,1
204,Designer Sets,22
406,Inventor,22
478,X-Pod,22
672,Creator 3-in-1,22
673,Creator Expert,22
674,Early Creator,22
35,Bricks & More,34
51,Arctic,50
67,Classic Town,50
86,Divers,50
87,Extreme Team,50
88,Launch Command,50
89,Outback,50
90,Paradisa,50
91,Race,50
92,Res-Q,50
93,Space Port,50
94,Town Jr.,50
104,Town Plan,50
105,World City,50
106,City Center,50
53,Airport,52
54,Cargo,52
55,Coast Guard,52
56,Construction,52
57,Farm,52
58,Fire,52
59,Harbor,52
60,Hospital,52
61,Police,52
63,Traffic,52
64,Off-Road,52
65,Arctic,52
66,Trains,52
614,Jungle,52
679,Mars Exploration,52
744,Stuntz,52
114,Ferrari,112
118,Promotional,112
122,RC,112
123,World Racers,112
127,Alien Conquest,126
128,Blacktron I,126
129,Blacktron II,126
130,Classic Space,126
131,Exploriens,126
132,Futuron,126
133,Ice Planet 2002,126
134,Insectoids,126
135,Life On Mars,126
136,M:Tron,126
137,Mars Mission,126
138,RoboForce,126
139,Space Police I,126
140,Space Police II,126
141,Space Police III,126
142,Spyrius,126
143,Supplemental,126
144,UFO,126
145,Unitron,126
146,Galaxy Squad,126
148,Pirates I,147
153,Pirates II,147
154,Pirates III,147
156,Mini,155
171,Ultimate Collector Series,158
187,Black Falcons,186
188,Black Knights,186
189,Classic Castle,186
190,Dragon Knights,186
191,Dark Forest,186
193,Fantasy Era,186
194,Forestmen,186
195,Fright Knights,186
196,Kingdoms,186
197,Knights Kingdom I,186
198,Knights Kingdom II,186
199,Lion Knights,186
201,Royal Knights,186
203,Wolfpack,186
207,Advent,206
227,Christmas,206
229,Easter,206
230,Halloween,206
231,Thanksgiving,206
232,Valentine,206
779,Chinese (Lunar) New Year,206
208,City,207
209,Star Wars,207
210,Belville,207
211,Castle,207
212,Classic Basic,207
213,Clikits,207
214,Creator,207
215,Pirates,207
216,Friends,207
710,Harry Potter,207
751,Marvel,207
780,Disney,207
228,Creator,227
234,12V,233
235,4.5V,233
236,9V,233
240,RC Train,233
241,Supplemental,233
667,Fantastic Beasts,246
253,Skylines,252
259,NXT,258
260,RCX,258
261,Star Wars,258
262,EV3,258
274,Jurassic Park III,273
277,Mosaic,276
280,Jack Stone,279
287,Spider-Man,279
297,Desert,296
298,Dino Island,296
299,Jungle,296
300,Orient Expedition,296
746,Database Sets,301
303,Ultra Agents,302
305,Mission Deep Sea,304
306,Mission Deep Freeze,304
308,Aquanauts,307
309,Aquaraiders I,307
310,Aquaraiders II,307
311,Aquasharks,307
312,Hydronauts,307
313,Stingrays,307
341,Playsets,324
360,Protectors,324
368,HO 1:87 Vehicles,365
369,Jumbo Bricks,365
371,Supplemental,365
372,Town Plan,365
756,Samsonite,365
401,Heroes,400
403,Villains,400
409,Monthly Mini Model Build,408
410,Pick A Model,408
619,Cities of Wonders,408
412,Airport,411
413,Building,411
414,Castle,411
415,Coast Guard,411
416,Construction,411
417,Fire,411
418,Gas Station,411
419,Harbor,411
420,Hospital,411
421,Police,411
422,Space,411
423,Vehicle,411
424,Western,411
616,The LEGO Ninjago Movie,435
655,Powered Up,438
453,Technic,443
456,Train,443
459,Basketball,458
460,Gravity Games,458
461,Hockey,458
462,Soccer,458
467,Basic,465
470,Classic Basic,465
472,Gears,465
473,Supplemental,465
498,Technic,497
757,Ideas Books,497
758,Non-fiction Books,497
759,Story Books,497
760,Activity Books,497
761,Activity Books with LEGO Parts,497
503,Key Chain,501
730,Audio and Visual Media,501
731,Bag and Luggage Tags,501
732,Clocks and Watches,501
733,Houseware,501
734,Magnets,501
735,Plush Toys,501
736,Posters and Art Prints,501
737,Role Play Toys and Costumes,501
738,Seasonal,501
739,Stationery and Office Supplies,501
740,Storage,501
741,Tabletop Games and Puzzles,501
742,Video Games and Accessories,501
777,"Bags, Totes, & Luggage",501
505,Basic Set,504
626,Bob the Builder,504
628,Dora the Explorer,504
630,Marvel,504
631,Thomas & Friends,504
632,Town,504
634,Trains,504
639,Sofia the First,504
647,Castle,504
651,Pirates,504
652,Playhouse,504
653,DC Comics,504
657,Action Wheelers,504
658,Dino,504
659,Dolls,504
660,Little Forest Friends,504
661,Little Robots,504
662,Princess Castle,504
663,Rattles,504
664,Toolo,504
665,Western,504
666,Zooters,504
722,Jurassic World,504
754,Disney,504
788,Bluey,504
789,Peppa Pig,504
790,Seasonal,504
509,SPIKE,507
510,Serious Play,507
511,Building Set with People,507
516,Duplo and Explore,507
517,Learning,507
518,Mindstorms,507
523,Samsonite,507
524,Service Packs,507
526,Soft Bricks,507
528,Supplemental,507
529,Technic,507
533,Town,507
534,Universal Building Set,507
791,Learning at Home,507
519,NXT,518
520,RCX,518
521,WeDo,518
525,Technic,524
530,Control Lab,529
531,eLAB,529
536,Series 1 Minifigures,535
537,Series 2 Minifigures,535
538,Series 3 Minifigures,535
539,Series 4 Minifigures,535
540,Series 5 Minifigures,535
541,Series 6 Minifigures,535
542,Series 7 Minifigures,535
543,Series 8 Minifigures,535
544,Series 9 Minifigures,535
545,Series 10 Minifigures,535
546,Team GB,535
547,Series 11 Minifigures,535
548,Series 12 Minifigures,535
549,The LEGO Movie,535
550,The Simpsons Series 1,535
551,Series 13 Minifigures,535
552,Series 14 Minifigures,535
553,The Simpsons Series 2,535
554,Series 15 Minifigures,535
555,Disney Series 1,535
556,Series 16 Minifigures,535
557,DFB Minifigures,535
609,The LEGO Batman Movie Series 1,535
611,Series 17 Minifigures,535
618,The LEGO Ninjago Movie,535
622,Series 18 Minifigures,535
656,Harry Potter and Fantastic Beasts Series 1,535
675,The LEGO Movie II,535
677,Disney Series 2,535
681,Series 19 Minifigures,535
684,DC Super Heroes,535
691,Harry Potter and Fantastic Beasts Series 2,535
692,Series 20 Minifigures,535
711,The LEGO Batman Movie Series 2,535
712,Series 21 Minifigures,535
714,Looney Tunes,535
715,Marvel Series 1,535
718,Series 22 Minifigures,535
720,The Muppets,535
725,Series 23 Minifigures,535
743,Series 24 Minifigures,535
745,Disney 100,535
750,Marvel Series 2,535
753,Series 25 Minifigures,535
762,Series 26 Minifigures,535
767,Dungeons & Dragons,535
771,Series 27 Minifigures,535
774,Formula 1,535
784,Spider-Man - Across the Spider-Verse,535
786,Series 28 Minifigures,535
562,The Hobbit,561
566,The Lord of the Rings,561
572,Speedorz,571
573,Constraction,571
670,The LEGO Movie II,578
592,DC Comics Super Heroes,591
593,Disney Princess,591
595,Friends,591
596,Marvel Super Heroes,591
597,Ninjago,591
615,Cars,591
620,Jurassic World: Fallen Kingdom,591
783,Incredibles 2,591
157,Bricktober,598
471,Ferries,598
728,McDonalds,598
729,Airlines,598
778,VIP Add-On Packs,598
263,Pirates of the Caribbean,608
271,Prince of Persia,608
388,Mickey Mouse,608
579,Disney Princess,608
687,Frozen,608
636,My Town,632
650,Legoville,632
697,Batman,695
700,Justice League,695
701,Superman,695
702,Avengers,696
704,Guardians of the Galaxy,696
705,Iron Man,696
706,Spider-Man,696
707,X-Men,696
781,The Infinity Saga,696
782,Captain America,696
698,UCS,697
708,The LEGO Batman Movie,697
755,Spidey and His Amazing Friends,706
506,Cars,754
627,Planes,754
629,Miles From Tomorrowland,754
633,Toy Story,754
635,Winnie the Pooh,754
638,Jake and the Never Land Pirates,754
640,Disney Princess,754
641,Mickey & Friends,754
648,Doc McStuffins,754
